f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
0.194217 3.25323 0 0.685972 180 1 -0 2.74963 -90 0.837094 90 2.74963 90
0.194666 3.21777 0 0.668888 180 1 -0 2.7126 -90 0.818131 90 2.7126 90
0.195115 3.1833 0 0.652441 180 1 -0 2.6766 -90 0.799855 90 2.6766 90
0.195565 3.14976 0 0.636597 180 1 -0 2.64156 -90 0.782232 90 2.64156 90
0.196016 3.11712 0 0.621327 180 1 -0 2.60746 -90 0.765231 90 2.60746 90
0.196469 3.08535 0 0.606604 180 1 -0 2.57425 -90 0.748822 90 2.57425 90
0.196922 3.0544 0 0.592401 180 1 -0 2.5419 -90 0.732977 90 2.5419 90
0.197376 3.02425 0 0.578694 180 1 -0 2.51038 -90 0.717669 90 2.51038 90
0.197832 2.99486 0 0.565458 180 1 -0 2.47964 -90 0.702873 90 2.47964 90
0.198288 2.96621 0 0.552674 180 1 -0 2.44967 -90 0.688567 90 2.44967 90
