f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.0327455 1 45 0.979483 -11.6261 1 0 0.201525 168.374 1 90 0.0442019 179.692 0.044527 172.764 19.4671 -42.0555 18.6453 -41.9256 1 0 0.244871 78.3739 0.0537093 89.6923 1 -135 0.0503812 -101.626 0.244871 -101.626 0.0537093 -90.3077
0.033516 1 45 0.978538 -11.892 1 0 0.206068 168.108 1 90 0.0464043 179.684 0.0467301 172.914 19.0208 -41.9863 18.1797 -41.8468 1 0 0.244634 78.108 0.0550891 89.6844 1 -135 0.0515169 -101.892 0.244634 -101.892 0.0550891 -90.3156
0.0343047 1 45 0.97755 -12.1636 1 0 0.210704 167.836 1 90 0.0487215 179.676 0.0490481 173.06 18.5847 -41.9156 17.7239 -41.7656 1 0 0.244387 77.8364 0.0565102 89.6762 1 -135 0.0526759 -102.164 0.244387 -102.164 0.0565102 -90.3238
0.0351119 1 45 0.976518 -12.441 1 0 0.215434 167.559 1 90 0.05116 179.668 0.0514875 173.203 18.1587 -41.8431 17.2777 -41.682 1 0 0.24413 77.559 0.0579744 89.6678 1 -135 0.0538586 -102.441 0.24413 -102.441 0.0579744 -90.3322
0.0359381 1 45 0.975441 -12.7243 1 0 0.22026 167.276 1 90 0.0537269 179.659 0.0540552 173.341 17.7425 -41.769 16.8408 -41.5958 1 0 0.24386 77.2757 0.0594835 89.6592 1 -135 0.0550651 -102.724 0.24386 -102.724 0.0594835 -90.3408
0.0367838 1 45 0.974316 -13.0137 1 0 0.225183 166.986 1 90 0.0564294 179.65 0.0567586 173.477 17.3359 -41.6931 16.4131 -41.507 1 0 0.243579 76.9863 0.0610393 89.6503 1 -135 0.0562959 -103.014 0.243579 -103.014 0.0610393 -90.3497
0.0376494 1 45 0.973142 -13.3091 1 0 0.230204 166.691 1 90 0.0592756 179.641 0.0596057 173.608 16.9387 -41.6155 15.9942 -41.4154 1 0 0.243286 76.6909 0.0626438 89.6411 1 -135 0.0575511 -103.309 0.243286 -103.309 0.0626438 -90.3589
0.0385353 1 45 0.971917 -13.6108 1 0 0.235325 166.389 1 90 0.0622737 179.632 0.0626048 173.737 16.5507 -41.5361 15.5841 -41.3209 1 0 0.242979 76.3892 0.0642993 89.6316 1 -135 0.0588312 -103.611 0.242979 -103.611 0.0642993 -90.3684
0.0394421 1 45 0.970638 -13.9187 1 0 0.240545 166.081 1 90 0.0654329 179.622 0.065765 173.861 16.1716 -41.4547 15.1823 -41.2234 1 0 0.242659 76.0813 0.066008 89.6218 1 -135 0.0601363 -103.919 0.242659 -103.919 0.066008 -90.3782
0.0403702 1 45 0.969304 -14.2331 1 0 0.245867 165.767 1 90 0.0687627 179.612 0.0690959 173.983 15.8012 -41.3715 14.7888 -41.1228 1 0 0.242326 75.7669 0.0677723 89.6117 1 -135 0.0614668 -104.233 0.242326 -104.233 0.0677723 -90.3883
0.0413201 1 45 0.967912 -14.5539 1 0 0.251291 165.446 1 90 0.0722734 179.601 0.0726077 174.101 15.4394 -41.2864 14.4033 -41.0188 1 0 0.241978 75.4461 0.0695949 89.6012 1 -135 0.0628228 -104.554 0.241978 -104.554 0.0695949 -90.3988
