f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
8.49753 28345.6 179.737 0 0 0.666735 -0.0872756 0 0 0.253886 -179.743 1 0 290.611 -0.262773 0 0 6.05366e-08 -90.2628 8.1346e-14 -89.8657 2.83456 179.737 3.5432 -0.262777
8.69749 28345.6 179.731 0 0 0.666735 -0.0893292 0 0 0.253887 -179.736 1 0 290.611 -0.268956 0 0 6.1961e-08 -90.269 8.32602e-14 -89.8626 2.83456 179.731 3.54319 -0.26896
8.90215 28345.5 179.725 0 0 0.666734 -0.0914311 0 0 0.253887 -179.73 1 0 290.611 -0.275285 0 0 6.3419e-08 -90.2753 8.52195e-14 -89.8593 2.83455 179.725 3.54319 -0.275289
9.11163 28345.5 179.718 0 0 0.666734 -0.0935825 0 0 0.253887 -179.724 1 0 290.611 -0.281763 0 0 6.49113e-08 -90.2818 8.72248e-14 -89.856 2.83455 179.718 3.54319 -0.281767
9.32603 28345.5 179.712 0 0 0.666734 -0.0957845 0 0 0.253888 -179.717 1 0 290.611 -0.288393 0 0 6.64387e-08 -90.2884 8.92774e-14 -89.8526 2.83455 179.712 3.54319 -0.288397
9.54548 28345.5 179.705 0 0 0.666734 -0.0980383 0 0 0.253888 -179.711 1 0 290.611 -0.295179 0 0 6.8002e-08 -90.2952 9.13782e-14 -89.8492 2.83455 179.705 3.54319 -0.295183
9.7701 28345.5 179.698 0 0 0.666734 -0.100345 0 0 0.253889 -179.704 1 0 290.61 -0.302125 0 0 6.96021e-08 -90.3021 9.35285e-14 -89.8456 2.83455 179.698 3.54318 -0.302129
10 28345.4 179.691 0 0 0.666733 -0.102706 0 0 0.253889 -179.697 1 0 290.61 -0.309234 0 0 7.12399e-08 -90.3092 9.57294e-14 -89.842 2.83454 179.691 3.54318 -0.309238
10.2353 28345.4 179.683 0 0 0.666733 -0.105123 0 0 0.25389 -179.69 1 0 290.61 -0.31651 0 0 7.29162e-08 -90.3165 9.79821e-14 -89.8383 2.83454 179.683 3.54318 -0.316515
10.4762 28345.4 179.676 0 0 0.666733 -0.107597 0 0 0.25389 -179.683 1 0 290.61 -0.323958 0 0 7.46319e-08 -90.324 1.00288e-13 -89.8344 2.83454 179.676 3.54318 -0.323963
10.7227 28345.4 179.668 0 0 0.666733 -0.110128 0 0 0.253891 -179.675 1 0 290.61 -0.331581 0 0 7.6388e-08 -90.3316 1.02648e-13 -89.8306 2.83454 179.668 3.54317 -0.331586
10.975 28345.4 179.661 0 0 0.666732 -0.11272 0 0 0.253891 -179.667 1 0 290.609 -0.339383 0 0 7.81854e-08 -90.3394 1.05063e-13 -89.8266 2.83454 179.661 3.54317 -0.339388
11.2332 28345.3 179.653 0 0 0.666732 -0.115372 0 0 0.253892 -179.66 1 0 290.609 -0.347369 0 0 8.00252e-08 -90.3474 1.07536e-13 -89.8225 2.83453 179.653 3.54317 -0.347374
11.4976 28345.3 179.644 0 0 0.666732 -0.118087 0 0 0.253893 -179.652 1 0 290.609 -0.355543 0 0 8.19082e-08 -90.3555 1.10066e-13 -89.8183 2.83453 179.644 3.54316 -0.355548
11.7681 28345.3 179.636 0 0 0.666731 -0.120865 0 0 0.253893 -179.643 1 0 290.609 -0.363909 0 0 8.38355e-08 -90.3639 1.12656e-13 -89.814 2.83453 179.636 3.54316 -0.363914
12.045 28345.3 179.628 0 0 0.666731 -0.123709 0 0 0.253894 -179.635 1 0 290.608 -0.372472 0 0 8.58081e-08 -90.3725 1.15307e-13 -89.8097 2.83453 179.628 3.54316 -0.372477
12.3285 28345.2 179.619 0 0 0.666731 -0.12662 0 0 0.253895 -179.626 1 0 290.608 -0.381236 0 0 8.78272e-08 -90.3812 1.18021e-13 -89.8052 2.83452 179.619 3.54315 -0.381242
12.6186 28345.2 179.61 0 0 0.66673 -0.129599 0 0 0.253896 -179.618 1 0 290.608 -0.390207 0 0 8.98937e-08 -90.3902 1.20798e-13 -89.8006 2.83452 179.61 3.54315 -0.390212
12.9155 28345.2 179.601 0 0 0.66673 -0.132649 0 0 0.253897 -179.609 1 0 290.607 -0.399388 0 0 9.20089e-08 -90.3994 1.23641e-13 -89.7959 2.83452 179.601 3.54315 -0.399394
13.2194 28345.1 179.591 0 0 0.666729 -0.13577 0 0 0.253897 -179.599 1 0 290.607 -0.408786 0 0 9.41739e-08 -90.4088 1.2655e-13 -89.7911 2.83451 179.591 3.54314 -0.408792
