f 1m 1f 2m 2f jV0200m jV0200f 
165.959 8.56517 0.542313 10 -0 8.56517 -2.59928 
169.824 8.61698 0.532189 10 -0 8.61698 -2.6094 
173.78 8.66735 0.522178 10 -0 8.66735 -2.61941 
177.828 8.71628 0.512282 10 -0 8.71628 -2.62931 
181.97 8.76379 0.502504 10 -0 8.76379 -2.63909 
186.209 8.8099 0.492845 10 -0 8.8099 -2.64875 
190.546 8.85462 0.483309 10 -0 8.85462 -2.65828 
194.984 8.89797 0.473896 10 -0 8.89797 -2.6677 
199.526 8.93997 0.464609 10 -0 8.93997 -2.67698 
204.174 8.98063 0.45545 10 -0 8.98063 -2.68614 
208.93 9.01999 0.446418 10 -0 9.01999 -2.69517 
213.796 9.05807 0.437516 10 -0 9.05807 -2.70408 
218.776 9.09488 0.428745 10 -0 9.09488 -2.71285 
223.872 9.13046 0.420104 10 -0 9.13046 -2.72149 
229.087 9.16484 0.411595 10 -0 9.16484 -2.73 
234.423 9.19803 0.403219 10 -0 9.19803 -2.73837 
239.883 9.23006 0.394975 10 -0 9.23006 -2.74662 
245.471 9.26097 0.386863 10 -0 9.26097 -2.75473 
251.189 9.29078 0.378884 10 -0 9.29078 -2.76271 
257.04 9.31952 0.371038 10 -0 9.31952 -2.77056 
263.027 9.34721 0.363323 10 -0 9.34721 -2.77827 
269.153 9.37389 0.35574 10 -0 9.37389 -2.78585 
275.423 9.39958 0.348288 10 -0 9.39958 -2.7933 
281.838 9.42432 0.340966 10 -0 9.42432 -2.80063 
288.403 9.44813 0.333774 10 -0 9.44813 -2.80782 
295.121 9.47103 0.326712 10 -0 9.47103 -2.81488 
301.995 9.49306 0.319777 10 -0 9.49306 -2.82182 
309.03 9.51424 0.312968 10 -0 9.51424 -2.82862 
316.228 9.5346 0.306286 10 -0 9.5346 -2.83531 
323.594 9.55417 0.299729 10 -0 9.55417 -2.84186 
331.131 9.57297 0.293295 10 -0 9.57297 -2.8483 
338.844 9.59102 0.286983 10 -0 9.59102 -2.85461 
346.737 9.60836 0.280792 10 -0 9.60836 -2.8608 
354.813 9.62501 0.274721 10 -0 9.62501 -2.86687 
363.078 9.64099 0.268767 10 -0 9.64099 -2.87283 
371.535 9.65632 0.26293 10 -0 9.65632 -2.87866 
380.189 9.67104 0.257209 10 -0 9.67104 -2.88438 
389.045 9.68515 0.251601 10 -0 9.68515 -2.88999 
398.107 9.69869 0.246104 10 -0 9.69869 -2.89549 
407.38 9.71167 0.240719 10 -0 9.71167 -2.90087 
416.869 9.72411 0.235442 10 -0 9.72411 -2.90615 
426.58 9.73604 0.230272 10 -0 9.73604 -2.91132 
436.516 9.74748 0.225208 10 -0 9.74748 -2.91639 
446.684 9.75843 0.220247 10 -0 9.75843 -2.92135 
457.088 9.76893 0.215389 10 -0 9.76893 -2.9262 
467.735 9.77899 0.210632 10 -0 9.77899 -2.93096 
478.63 9.78862 0.205973 10 -0 9.78862 -2.93562 
489.779 9.79785 0.201412 10 -0 9.79785 -2.94018 
501.187 9.80669 0.196946 10 -0 9.80669 -2.94465 
512.861 9.81515 0.192574 10 -0 9.81515 -2.94902 
524.807 9.82325 0.188295 10 -0 9.82325 -2.9533 
537.032 9.831 0.184106 10 -0 9.831 -2.95749 
549.541 9.83843 0.180006 10 -0 9.83843 -2.96159 
562.341 9.84553 0.175994 10 -0 9.84553 -2.9656 
575.44 9.85233 0.172067 10 -0 9.85233 -2.96953 
588.844 9.85884 0.168225 10 -0 9.85884 -2.97337 
602.56 9.86506 0.164465 10 -0 9.86506 -2.97713 
616.595 9.87102 0.160786 10 -0 9.87102 -2.98081 
630.957 9.87672 0.157187 10 -0 9.87672 -2.98441 
645.654 9.88217 0.153665 10 -0 9.88217 -2.98793 
660.693 9.88738 0.150221 10 -0 9.88738 -2.99137 
676.083 9.89237 0.146851 10 -0 9.89237 -2.99474 
691.831 9.89714 0.143554 10 -0 9.89714 -2.99804 
707.946 9.9017 0.14033 10 -0 9.9017 -3.00126 
724.436 9.90606 0.137176 10 -0 9.90606 -3.00442 
741.31 9.91023 0.134091 10 -0 9.91023 -3.0075 
758.578 9.91422 0.131074 10 -0 9.91422 -3.01052 
776.247 9.91803 0.128123 10 -0 9.91803 -3.01347 
794.328 9.92168 0.125238 10 -0 9.92168 -3.01636 
812.831 9.92517 0.122416 10 -0 9.92517 -3.01918 
831.764 9.9285 0.119656 10 -0 9.9285 -3.02194 
851.138 9.93168 0.116957 10 -0 9.93168 -3.02464 
870.964 9.93473 0.114318 10 -0 9.93473 -3.02727 
891.251 9.93764 0.111738 10 -0 9.93764 -3.02985 
912.011 9.94042 0.109215 10 -0 9.94042 -3.03238 
933.254 9.94308 0.106748 10 -0 9.94308 -3.03484 
954.993 9.94562 0.104336 10 -0 9.94562 -3.03726 
977.237 9.94805 0.101977 10 -0 9.94805 -3.03962 
1000 9.95037 0.0996717 10 -0 9.95037 -3.04192 
1023.29 9.95259 0.0974174 10 -0 9.95259 -3.04418 
1047.13 9.95471 0.0952135 10 -0 9.95471 -3.04638 
1071.52 9.95673 0.0930588 10 -0 9.95673 -3.04853 
1096.48 9.95867 0.0909523 10 -0 9.95867 -3.05064 
1122.02 9.96052 0.088893 10 -0 9.96052 -3.0527 
1148.15 9.96228 0.0868798 10 -0 9.96228 -3.05471 
1174.9 9.96397 0.0849118 10 -0 9.96397 -3.05668 
1202.26 9.96558 0.0829879 10 -0 9.96558 -3.0586 
1230.27 9.96713 0.0811073 10 -0 9.96713 -3.06049 
1258.93 9.9686 0.0792688 10 -0 9.9686 -3.06232 
1288.25 9.97001 0.0774718 10 -0 9.97001 -3.06412 
1318.26 9.97135 0.0757151 10 -0 9.97135 -3.06588 
1348.96 9.97263 0.073998 10 -0 9.97263 -3.06759 
1380.38 9.97386 0.0723195 10 -0 9.97386 -3.06927 
1412.54 9.97503 0.0706788 10 -0 9.97503 -3.07091 
1445.44 9.97615 0.0690752 10 -0 9.97615 -3.07252 
1479.11 9.97722 0.0675077 10 -0 9.97722 -3.07408 
1513.56 9.97824 0.0659755 10 -0 9.97824 -3.07562 
1548.82 9.97922 0.0644779 10 -0 9.97922 -3.07711 
1584.89 9.98015 0.0630142 10 -0 9.98015 -3.07858 
1621.81 9.98104 0.0615834 10 -0 9.98104 -3.08001 
1659.59 9.98189 0.0601851 10 -0 9.98189 -3.08141 
1698.24 9.98271 0.0588183 10 -0 9.98271 -3.08277 
1737.8 9.98348 0.0574824 10 -0 9.98348 -3.08411 
1778.28 9.98423 0.0561767 10 -0 9.98423 -3.08542 
1819.7 9.98493 0.0549006 10 -0 9.98493 -3.08669 
1862.09 9.98561 0.0536533 10 -0 9.98561 -3.08794 
1905.46 9.98626 0.0524343 10 -0 9.98626 -3.08916 
1949.84 9.98687 0.0512428 10 -0 9.98687 -3.09035 
1995.26 9.98746 0.0500784 10 -0 9.98746 -3.09151 
